title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
"Reporting, Let’s Get Married Quickly!","['Slice of Life', 'Drama', 'Fantasy', 'Romance']","['Beautiful Female Lead', 'Businessmen', 'Childcare', 'Cold Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Love Rivals', 'Pregnancy']",3,0,0,0,1,2.0
Cultural Invasion In Different World,"['Mystery', 'Sci-fi', 'Adventure', 'Comedy', 'Action', 'Slice of Life', 'Fantasy']","['Acting', 'Antihero Protagonist', 'Beautiful Female Lead', 'Business Management', 'Calm Protagonist', 'Clever Protagonist', 'Confident Protagonist', 'Cunning Protagonist', 'Death of Loved Ones', 'Demi-Humans', 'Demons', 'Determined Protagonist', 'Discrimination', 'Dragons', 'Druids', 'Dwarfs', 'e-Sports', 'Elves', 'Evil Organizations', 'Evil Religions', 'Fantasy World', 'Gamers', 'Gods', 'Humanoid Protagonist', 'Knights', 'Magic', 'Magical Technology', 'Male Protagonist', 'Management', 'Modern Knowledge', 'Movies', 'Nobles', 'Orcs', 'Parody', 'Politics', 'Poor to Rich', 'Pragmatic Protagonist', 'Proactive Protagonist', 'Programmer', 'Protagonist Strong from the Start', 'Romantic Subplot', 'Royalty', 'Schemes And Conspiracies', 'Showbiz', 'Singers', 'Slow Romance', 'Store Owner', 'Technological Gap', 'Transmigration', 'World Tree']",8,4,8,16,55,4.2
Rule the Roost in the Tang Dynasty,"['Fantasy', 'Harem', 'Historical', 'Shounen']","['Ancient China', 'Imperial Harem', 'Kingdoms', 'Male Protagonist', 'Military', 'Reincarnation', 'Strategic Battles']",3,2,2,2,4,3.2
Man from the Wild South,"['Wuxia', 'Mature', 'Comedy', 'Josei', 'Martial Arts', 'Fantasy', 'Romance']","['Beautiful Female Lead', 'Black Belly', 'Female Protagonist', 'Handsome Male Lead', 'Honest Protagonist', 'Love Interest Falls in Love First', 'Magic', 'Manipulative Characters', 'Marriage', 'Misunderstandings', 'Naive Protagonist', 'Phoenixes', 'S*xual Abuse', 'Sword And Magic', 'Sword Wielder']",5,3,12,23,50,4.2
Accompanying the Phoenix,"['Adventure', 'Comedy', 'Romance', 'Xianxia']","['Adapted to Drama', 'Aristocracy', 'Beautiful Female Lead', 'Betrayal', 'Broken Engagement', 'Confident Protagonist', 'Cultivation', 'Demons', 'Devoted Love Interests', 'Female Protagonist', 'Generals', 'Gods', 'Handsome Male Lead', 'Heartwarming', 'Hot-blooded Protagonist', 'Immortals', 'Magic', 'Multiple Realms', 'Phoenixes', 'Power Couple', 'Protagonist Strong from the Start', 'Sharp-tongued Characters', 'Slow Romance', 'Strong Love Interests', 'Tomboyish Female Lead', 'Wars']",6,8,7,25,130,4.5
Assistant Lin Has Something To Say,"['Shounen Ai', 'Drama', 'Yaoi', 'Romance']","['Boss-Subordinate Relationship', 'Confident Protagonist', 'Doting Love Interests', 'Family Conflict', 'Office Romance', 'Older Love Interests', 'Past Trauma', 'Protagonist Falls in Love First', 'Secret Crush', 'Straight Seme', 'Strong Love Interests']",0,0,4,9,22,4.5
A Complete Explanation of the Negative Textbooks for the Imperial Examination,"['Slice of Life', 'Drama', 'Fantasy', 'Romance']","['Ancient China', 'Clever Protagonist', 'Court Official', 'Cunning Protagonist', 'Farming', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Male Protagonist', 'Medical Knowledge', 'Multiple Transported Individuals', 'Slow Growth at Start', 'Slow Romance', 'Wars']",1,1,1,2,7,4.1
Hell’s Handbook,"['Action', 'Fantasy', 'Horror', 'Mystery']","['Average-looking Protagonist', 'Awkward Protagonist', 'Books', 'Clever Protagonist', 'Comedic Undertone', 'Cunning Protagonist', 'Dense Protagonist', 'Depictions of Cruelty', 'Game Elements', 'Gate to Another World', 'Gods', 'Gore', 'Magic', 'Male Protagonist', 'Mature Protagonist', 'Modern Day', 'Naive Protagonist', 'Phobias', 'Poor Protagonist', 'Poor to Rich', 'Romantic Subplot', 'Survival Game', 'Weak to Strong', 'World Hopping']",4,3,3,1,12,3.6
Back to the ’80s to Raise a Wolfy Boyfriend,"['Fantasy', 'Romance', 'Shoujo']","['Aristocracy', 'Cultivation', 'Fast Cultivation', 'Female Master', 'Female Protagonist', 'Modern Day', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Reincarnation', 'Royalty', 'Smart Couple', 'Strong Love Interests', 'Strong to Stronger', 'Wealthy Characters']",1,1,4,7,8,4.0
Jun You Ji Fou,"['Drama', 'Historical', 'Romance', 'Yaoi']","['Adapted to Drama CD', 'Ancient China', 'Calm Protagonist', 'Death of Loved Ones', 'Devoted Love Interests', 'Enemies Become Lovers', 'Handsome Male Lead', 'Male Yandere', 'Manipulative Characters', 'Misunderstandings', 'Power Couple', 'Racism', 'Schemes And Conspiracies', 'Seme Protagonist', 'S*xual Abuse', 'Shameless Protagonist', 'Sharp-tongued Characters', 'Smart Couple', 'Strong Love Interests']",4,5,5,4,53,4.4
My Wife Is A Princess,"['School Life', 'Romance', 'Harem', 'Slice of Life', 'Fantasy', 'Adult']","['Loli', 'Male Protagonist', 'Nationalism']",9,2,5,3,24,3.7
The Aladdin on the Toilet,"['School Life', 'Comedy', 'Fantasy']","['Genies', 'Sentient Objects', 'Wishes']",0,0,1,1,0,3.5
Stigma (Yi Cong Yin),"['Drama', 'Historical', 'Psychological', 'Romance', 'Yaoi']","['Ancient China', 'Aristocracy', 'Calm Protagonist', 'Carefree Protagonist', 'Caring Protagonist', 'Character Growth', 'Clever Protagonist', 'Comedic Undertone', 'Death', 'Depression', 'Doting Love Interests', 'Handsome Male Lead', 'Nobles', 'Orphans', 'Past Plays a Big Role', 'Past Trauma', 'Politics', 'Second Chance', 'Shameless Protagonist', 'Sickly Characters', 'Strategist', 'Suicides', 'Tragic Past', 'Younger Love Interests']",2,5,9,7,38,4.2
"Reborn Cute Wifey: Mister, Hug Me","['Comedy', 'Drama', 'Romance', 'Shoujo']","['Cute Children', 'Cute Protagonist', 'Cute Story', 'Early Romance', 'Female Protagonist', 'Protagonist Strong from the Start', 'Resurrection', 'Revenge', 'Strong to Stronger']",6,2,1,1,6,2.9
Sha Qing,"['Action', 'Mature', 'Mystery', 'Psychological', 'Yaoi']","['Adapted to Drama CD', 'Antihero Protagonist', 'Character Growth', 'Charismatic Protagonist', 'Charming Protagonist', 'Crime', 'Criminals', 'Detectives', 'Enemies Become Allies', 'Enemies Become Lovers', 'Investigations', 'Manipulative Characters', 'Manly Gay Couple', 'Mismatched Couple', 'Multiple POV', 'Multiple Protagonists', 'Police', 'Power Couple', 'Revenge', 'Reversible Couple', 'Righteous Protagonist', 'Rivalry', 'Secret Identity', 'Serial Killers', 'Smart Couple', 'Thriller', 'Unreliable Narrator']",5,4,7,14,96,4.5
The Memory Lost in Space,"['Drama', 'Romance', 'Sci-fi', 'Tragedy']","['Amnesia', 'Beautiful Female Lead', 'Betrayal', 'Cold Love Interests', 'Cold Protagonist', 'Cosmic Wars', 'Death of Loved Ones', 'Female Protagonist', 'Futuristic Setting', 'Handsome Male Lead', 'Hiding True Identity', 'Secret Identity', 'Strong Love Interests', 'Tragic Past']",2,2,2,0,18,4.3
His Majesty’s Hostage,"['Fantasy', 'Psychological', 'Yaoi']","['Ancient China', 'Ancient Times', 'Cold Protagonist', 'Confinement', 'Cruel Characters', 'Depictions of Cruelty', 'Imperial Harem', 'R*pe Victim Becomes Lover', 'Royalty', 'R*pe', 'Schemes And Conspiracies', 'S*xual Abuse', 'Sickly Characters', 'Transmigration']",27,7,8,6,64,3.7
The Villainess Won’t Let the Main Leads Break Up!,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Xuanhuan']","['Ancient China', 'Arrogant Characters', 'Beautiful Female Lead', 'Bickering Couple', 'Charming Protagonist', 'Cold Love Interests', 'Comedic Undertone', 'Confident Protagonist', 'Cruel Characters', 'Cultivation', 'Cute Protagonist', 'Dao Companion', 'Demon Lord', 'Demonic Cultivation Technique', 'Devoted Love Interests', 'Doting Older Siblings', 'Female Protagonist', 'Handsome Male Lead', 'Immortals', 'Lazy Protagonist', 'Love Interest Falls in Love First', 'Male Yandere', 'Naive Protagonist', 'Past Trauma', 'Popular Love Interests', 'Possessive Characters', 'Power Couple', 'Proactive Protagonist', 'Schemes And Conspiracies', 'Sealed Power', 'Secret Identity', 'Shameless Protagonist', 'Slow Romance', 'Special Abilities', 'Stoic Characters', 'Strong Love Interests', 'Sword And Magic', 'Transmigration', 'Villainess Noble Girls']",6,1,7,19,87,4.5
"After I Died, the Scum Gong’s Grief was Too Much for Him to Live","['Drama', 'Tragedy', 'Yaoi']","['Abusive Characters', 'Calm Protagonist', 'Caring Protagonist', 'Character Growth', 'Clingy Lover', 'Comedic Undertone', 'Confident Protagonist', 'Couple Growth', 'Death of Loved Ones', 'Determined Protagonist', 'Devoted Love Interests', 'Different Social Status', 'Doting Love Interests', 'Introverted Protagonist', 'Possessive Characters', 'Pragmatic Protagonist', 'Protagonist Falls in Love First', 'R*pe', 'Second Chance', 'S*x Friends', 'Sickly Characters', 'Terminal Illness']",52,12,4,7,32,2.6
Mr. Ye’s Secret Lover,"['Tragedy', 'Slice of Life', 'Romance']","['Abusive Characters', 'Revenge', 'Showbiz']",3,0,1,1,2,2.9
Potatoes Are the Only Thing That’s Needed in This World!,"['Mature', 'Psychological', 'Harem', 'Adventure', 'Comedy', 'Slice of Life', 'Fantasy']","['Adventurers', 'Child Abuse', 'Depictions of Cruelty', 'Farming', 'Male Protagonist', 'Quirky Characters']",35,9,15,18,72,3.6
Fanservice Paradox,"['Yaoi', 'Slice of Life', 'Romance', 'Adult']","['Adapted to Drama CD', 'Awkward Protagonist', 'Celebrities', 'Child Abuse', 'Cold Protagonist', 'Dancers', 'Devoted Love Interests', 'Doting Love Interests', 'Enemies Become Lovers', 'First Love', 'First-time Interc**rse', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Heartwarming', 'Love Interest Falls in Love First', 'Manly Gay Couple', 'Misunderstandings', 'Modern Day', 'Music', 'Past Trauma', 'Philosophical', 'Possessive Characters', 'Showbiz', 'Singers', 'Slow Romance', 'Smart Couple', 'Teamwork', 'Younger Love Interests']",11,6,15,35,209,4.5
It’s Hard To Be A Bad Cat,"['Comedy', 'Slice of Life', 'Psychological']","['Animal Rearing', 'Cute Protagonist', 'Easy Going Life', 'Heartwarming', 'Modern Day', 'Non-humanoid Protagonist']",2,1,3,6,14,4.1
Ballad of the Desert,"['Adventure', 'Drama', 'Historical', 'Mature', 'Romance', 'Shoujo']","['Adapted to Drama', 'Ancient China', 'Aristocracy', 'Beautiful Female Lead', 'Betrayal', 'Clever Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Love Triangles', 'Politics', 'Royalty', 'Strong Love Interests', 'Unrequited Love']",6,5,9,27,137,4.5
President Wife is A Man,"['School Life', 'Shounen Ai', 'Slice of Life', 'Romance', 'Adult']","['Boss-Subordinate Relationship', 'Calm Protagonist', 'Cohabitation', 'Cold Love Interests', 'College/University', 'Devoted Love Interests', 'Doting Love Interests', 'Early Romance', 'Family', 'Handsome Male Lead', 'Jealousy', 'Modern Day', 'Office Romance', 'Popular Love Interests', 'Protagonist Falls in Love First', 'Secret Relationship', 'Wealthy Characters']",17,7,15,18,103,4.1
All The Bigshots Love Me [Quick Transmigration],"['Adventure', 'School Life', 'Fantasy', 'Romance']","['Acting', 'Beautiful Female Lead', 'Businessmen', 'Cold Love Interests', 'Devoted Love Interests', 'Doting Love Interests', 'Eunuch', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Nobles', 'Persistent Love Interests', 'Popular Love Interests', 'Possessive Characters', 'Royalty', 'Showbiz', 'Sickly Characters', 'Soldiers', 'Transmigration', 'Wealthy Characters', 'World Hopping']",1,3,4,3,26,4.4
I Play DC Hero In Marvel,"['Action', 'Mecha', 'Sci-fi']","['Fanfiction', 'Modern Day', 'Movies', 'Multiple Identities', 'Multiple Personalities', 'Multiple POV', 'System Administrator']",0,1,1,1,1,3.5
The Spiritual Attainment of Minghe,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Xianxia']","['Ancient Times', 'Antihero Protagonist', 'Army Building', 'Artifact Crafting', 'Artifacts', 'Beasts', 'Blood Manipulation', 'Bloodlines', 'Body Tempering', 'Buddhism', 'Clones', 'Crafting', 'Cultivation', 'Dao Comprehension', 'Demons', 'Determined Protagonist', 'Dragons', 'Enlightenment', 'Evil Gods', 'Fast Cultivation', 'Gods', 'Hard-Working Protagonist', 'Heavenly Tribulation', 'Immortals', 'Inheritance', 'Loyal Subordinates', 'Magic Formations', 'Male Protagonist', 'Mythical Beasts', 'Mythology', 'Pill Concocting', 'Protagonist Strong from the Start', 'Reincarnated in Another World', 'Schemes And Conspiracies', 'Spear Wielder', 'Strong to Stronger', 'Time Skip', 'Wars', 'World Travel']",41,20,18,11,81,3.4
With You,"['School Life', 'Drama', 'Josei', 'Slice of Life', 'Romance']","['Adapted to Drama', 'Adapted to Manhua', 'Adapted to Movie', 'Character Growth', 'Coming of Age', 'Female Protagonist', 'Lovers Reunited', 'Modern Day', 'Time Skip']",5,2,3,2,29,4.2
Invincible Exchange System,"['Xuanhuan', 'Harem', 'Sci-fi', 'Action', 'Martial Arts', 'Fantasy', 'Romance']","['Game Elements', 'Male Protagonist', 'Reincarnation', 'System Administrator']",8,0,4,2,12,3.4
Sect Leader Is Under Great Pressure,"['Action', 'Adventure', 'Romance', 'Xianxia', 'Yaoi']","['Amnesia', 'Artificial Intelligence', 'Calm Protagonist', 'Clever Protagonist', 'Cultivation', 'Master-Disciple Relationship', 'Multiple POV', 'Mysterious Past', 'Programmer', 'R*pe', 'S*aves', 'Smart Couple', 'Transmigration', 'Unique Cultivation Technique']",4,2,5,6,37,4.3
The Vixen is Attacked,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'Yuri']","['Ancient China', 'Demons', 'Devoted Love Interests', 'Female Protagonist', 'Fox Spirits', 'Interdimensional Travel', 'Magic', 'Past Plays a Big Role', 'System Administrator', 'World Hopping']",2,0,2,1,13,4.3
The General’s Wife of the Buddhist Family,"['Comedy', 'Historical', 'Josei', 'Slice of Life', 'Fantasy', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Cold Love Interests', 'Cold Protagonist', 'Cooking', 'Doting Love Interests', 'Doting Parents', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Mob Protagonist', 'Naive Protagonist', 'Special Abilities', 'Strong Love Interests', 'Transmigration', 'Weak to Strong']",3,0,3,8,22,4.3
Brothel Open For Business (H),"['Adult', 'Mature', 'Smut', 'Yaoi']","['Adopted Children', 'Androgynous Characters', 'Brother Complex', 'Collection of Short Stories', 'Cute Protagonist', 'F*llatio', 'Futanari', 'Incest', 'Master-Servant Relationship', 'M*sturbation', 'Modern Day', 'Or*y', 'Outdoor Interc**rse', 'Perverted Protagonist', 'Polyandry', 'Pregnancy', 'R*pe', 'Shota', 'Siblings Not Related by Blood', 'Threesome', 'Toys', 'Voyeurism']",21,11,17,8,145,4.2
Woke up and Heard I Was Married,"['Romance', 'Yaoi']","['Acting', 'Adapted to Drama CD', 'Comedic Undertone', 'Crime', 'Doting Love Interests', 'Lazy Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Mystery Solving', 'Possessive Characters', 'Showbiz', 'System Administrator']",0,5,10,3,35,4.3
Rebirth of a Useless Waste: Number One Evil Immortal,"['Comedy', 'Romance', 'Xuanhuan', 'Yaoi']","['Adopted Protagonist', 'Age Regression', 'Black Belly', 'Bloodlines', 'Broken Engagement', 'Calm Protagonist', 'Charming Protagonist', 'Cultivation', 'Doting Love Interests', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Humanoid Protagonist', 'Immortals', 'Master-Disciple Relationship', 'Mature Protagonist', 'Mysterious Past', 'Older Love Interests', 'Popular Love Interests', 'Reincarnation', 'Revenge', 'R*pe', 'Second Chance', 'Shapeshifters', 'Strong Love Interests', 'Weak to Strong']",8,4,8,3,39,4.0
Metropolitan System,"['Action', 'Adventure', 'Harem', 'Mature', 'Xianxia']","['Adapted to Manhua', 'Alternate World', 'Male Protagonist', 'Modern Day', 'Polygamy', 'Reincarnated in Another World', 'System Administrator', 'Transmigration', 'Writers']",6,1,4,2,6,3.1
My Sister Never Called Me Brother,"['School Life', 'Comedy', 'Romance', 'Harem']","['Beautiful Female Lead', 'Black Belly', 'Childhood Friends', 'Male Protagonist', 'Modern Day', 'Shameless Protagonist', 'Siblings', 'Siblings Not Related by Blood', 'Younger Sisters']",6,2,4,4,18,3.8
Game of the Wealthy: Privately Kept Sweetheart Treasure,['Romance'],"['Female Protagonist', 'Modern Day']",3,0,1,1,4,3.3
The Flirtatious Scheme of the Vicious General’s Daughter,"['Comedy', 'Fantasy', 'Historical', 'Romance', 'Supernatural']","['Ancient China', 'Beautiful Female Lead', 'Bickering Couple', 'Broken Engagement', 'Brotherhood', 'Charming Protagonist', 'Cross-dressing', 'Dense Protagonist', 'Familial Love', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Military', 'Slow Romance', 'Strong Love Interests', 'Transmigration', 'Villainess Noble Girls']",10,6,17,11,40,3.8
Dragon Dragon Dragon,"['Adventure', 'Comedy', 'Shoujo', 'Slice of Life', 'Fantasy']","['Dragons', 'Female Protagonist', 'Mercenaries', 'Non-humanoid Protagonist', 'Reincarnated in Another World', 'Strong Love Interests', 'Unique Weapons']",18,15,10,24,61,3.7
Bone Painting Coroner,"['Mature', 'Mystery', 'Gender Bender', 'Fantasy', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Crime', 'Cross-dressing', 'Dark', 'Female Protagonist', 'Gore', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Modern Knowledge', 'Mystery Solving', 'Politics', 'Power Couple', 'Royalty', 'Transmigration']",16,7,37,45,152,4.2
Love from the Male Protagonist’s Harem,"['Comedy', 'Drama', 'Historical', 'Romance', 'Xianxia', 'Yuri']","['Ancient China', 'Beautiful Female Lead', 'Bisexual Protagonist', 'Character Growth', 'Cold Love Interests', 'Corruption', 'Cross-dressing', 'Cruel Characters', 'Dense Protagonist', 'Female Protagonist', 'Flashbacks', 'Kind Love Interests', 'Loneliness', 'Love Interest Falls in Love First', 'Mysterious Past', 'Non-linear Storytelling', 'Past Plays a Big Role', 'Possessive Characters', 'Schemes And Conspiracies', 'Secret Identity', 'Shameless Protagonist', 'Slow Romance', 'Strong Love Interests', 'Yandere']",2,3,4,5,33,4.4
How To Break Into Male God’s Computer,"['Comedy', 'Romance']","['College/University', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day', 'Secret Crush']",4,1,4,5,12,3.8
"Godly Farmer Doctor: Arrogant Husband, Can’t Afford to Offend!","['Fantasy', 'Romance']","['Affair', 'Amnesia', 'Ancient China', 'Arranged Marriage', 'Beautiful Female Lead', 'Calm Protagonist', 'Caring Protagonist', 'Clever Protagonist', 'Complex Family Relationships', 'Cooking', 'Doctors', 'Farming', 'Female Protagonist', 'Generals', 'Handsome Male Lead', 'Imperial Harem', 'Love Triangles', 'Medical Knowledge', 'Modern Knowledge', 'Older Love Interests', 'Pill Concocting', 'Politics', 'Poor Protagonist', 'Poor to Rich', 'Royalty', 'Schemes And Conspiracies', 'Slow Romance', 'Transmigration']",16,13,34,19,64,3.7
"Daddy, Mommy Is Not Available","['Drama', 'Romance']","['Abusive Characters', 'Betrayal', 'Character Growth', 'Cute Children', 'Divorce', 'Female Protagonist', 'Modern Day', 'Twins']",8,2,2,0,1,1.8
I Just Want to Die,"['Action', 'Adventure', 'Fantasy', 'Sci-fi']","['Carefree Protagonist', 'Childcare', 'Fearless Protagonist', 'Female Protagonist', 'Interdimensional Travel', 'Strong to Stronger', 'Suicides', 'Survival Game', 'System Administrator', 'Transmigration', 'Unrequited Love', 'World Hopping', 'World Travel']",6,6,5,14,25,3.8
Boss-gege Excessive Spoiling,"['Josei', 'Romance']","['Ancient China', 'Early Romance', 'Female Protagonist', 'Multiple Realms', 'Persistent Love Interests', 'Showbiz', 'Siblings Not Related by Blood', 'System Administrator', 'Transmigration', 'World Hopping']",2,2,8,2,8,3.5
Evil Son,"['Adult', 'Smut', 'Yaoi']","['Futanari', 'Incest', 'Mpreg', 'R*pe Victim Becomes Lover', 'Younger Love Interests']",1,0,0,0,1,3.0
My Good Life,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Romance', 'Supernatural']","['Adventurers', 'Beast Companions', 'Bickering Couple', 'Fearless Protagonist', 'Female Protagonist', 'Modern Day', 'Quiet Characters', 'Shapeshifters', 'Slow Romance', 'Vampires', 'Zombies']",3,1,2,4,13,4.0
"Transmigrating into a 90’s Cat, I Want to Work for My Home Country","['Supernatural', 'Adventure', 'Comedy', 'Action', 'Slice of Life', 'Fantasy', 'Romance']","['Animal Characteristics', 'Animal Rearing', 'Appearance Changes', 'Beast Companions', 'Beasts', 'Beautiful Female Lead', 'Carefree Protagonist', 'Cold Love Interests', 'Cute Protagonist', 'Cute Story', 'Female Protagonist', 'Friendship', 'Handsome Male Lead', 'Helpful Protagonist', 'Heterochromia', 'Hiding True Abilities', 'Hiding True Identity', 'Identity Crisis', 'Investigations', 'Overpowered Protagonist', 'Playful Protagonist', 'Police', 'Soldiers', 'System Administrator', 'Teamwork', 'Transmigration']",3,2,3,1,9,3.6
There’s Always Spicy Chicken Who Wants to Take me to Fly,"['Comedy', 'Romance', 'Shoujo']","['Female Protagonist', 'Futuristic Setting', 'Gamers', 'Transmigration', 'Virtual Reality']",2,4,2,6,14,3.9
Automatic Upgrade,"['Action', 'Xuanhuan']","['Game Elements', 'Reincarnation', 'System Administrator']",1,2,1,0,6,3.8
Don’t Tell Me This Is the True History of the Three Kingdoms!,"['Harem', 'Drama', 'Adventure', 'Comedy', 'Action', 'Historical', 'Slice of Life', 'Fantasy', 'Romance']","['Adapted to Manhua', 'Alternate World', 'Ancient China', 'Army Building', 'Beautiful Female Lead', 'Dense Protagonist', 'Male Protagonist', 'Misunderstandings', 'Multiple POV', 'Polygamy', 'Transported to Another World']",36,9,17,27,90,3.7
She Became a Heartbreaker After Entering the Novel,"['Comedy', 'Drama', 'Josei', 'Romance']","['Doting Love Interests', 'Doting Parents', 'Female Protagonist', 'Modern Day', 'Transmigration', 'Wealthy Characters']",2,1,4,2,9,3.8
"He’s Not My Shadow Guard, He’s My Lover","['Shounen Ai', 'Slice of Life', 'Drama', 'Romance']","['Ancient China', 'Bodyguards', 'Different Social Status', 'Doting Love Interests', 'Family', 'Family Business', 'Love Interest Falls in Love First', 'Master-Servant Relationship', 'Modern Day', 'Near-Death Experience', 'Possessive Characters', 'Returning from Another World', 'Royalty', 'Short Story', 'Sickly Characters', 'Transmigration', 'Unconditional Love', 'Unreliable Narrator', 'Weak Protagonist']",4,12,38,40,90,4.1
Overpowered Broadcast System,"['School Life', 'Adventure', 'Action', 'Martial Arts', 'Slice of Life', 'Adult']","['Animal Rearing', 'Beast Companions', 'Calm Protagonist', 'Carefree Protagonist', 'Caring Protagonist', 'Cooking', 'Cultivation', 'Curious Protagonist', 'Cute Story', 'Daoism', 'Easy Going Life', 'Folklore', 'Male Protagonist', 'Modern Day', 'Overpowered Protagonist', 'Pets', 'Poor to Rich', 'System Administrator', 'Weak to Strong']",6,4,13,2,16,3.4
War God Supreme,['Fantasy'],[''],0,0,1,1,0,3.5
Sun God Marvel,"['School Life', 'Mature', 'Mystery', 'Harem', 'Adult', 'Supernatural', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy', 'Romance']","['Fanfiction', 'Male Protagonist']",23,3,1,0,5,1.8
Stone Age Husband Raising Journal,"['Yaoi', 'Adventure', 'Comedy', 'Historical', 'Shounen Ai', 'Slice of Life', 'Fantasy', 'Romance']","['Alternate World', 'Animal Characteristics', 'Apathetic Protagonist', 'Beastkin', 'Beasts', 'Broken Engagement', 'Character Growth', 'Clan Building', 'Cooking', 'Cultivation', 'Cute Story', 'Devoted Love Interests', 'Farming', 'Handsome Male Lead', 'Heartwarming', 'Hiding True Abilities', 'Leadership', 'Manly Gay Couple', 'Misunderstandings', 'Modern Knowledge', 'Multiple Protagonists', 'Overpowered Protagonist', 'Parallel Worlds', 'Possessive Characters', 'Power Couple', 'Previous Life Talent', 'Protagonist Falls in Love First', 'Reincarnated in Another World', 'Reincarnation', 'Second Chance', 'Shapeshifters', 'Strong Love Interests', 'Strong to Stronger', 'Survival', 'Tragic Past', 'Transmigration', 'Transported to Another World', 'Tribal Society', 'Underestimated Protagonist']",21,20,53,106,446,4.4
Just Let Me Die,"['Comedy', 'Action', 'Xuanhuan', 'Martial Arts']","['Fearless Protagonist', 'Hot-blooded Protagonist', 'Male Protagonist', 'System Administrator']",1,0,3,1,4,3.8
The Great Conqueror,"['School Life', 'Xuanhuan', 'Harem', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Academy', 'Adapted to Manhua', 'Aristocracy', 'Artifact Crafting', 'Artifacts', 'Beastkin', 'Calm Protagonist', 'Cultivation', 'Cunning Protagonist', 'Early Romance', 'Hiding True Abilities', 'Humanoid Protagonist', 'Inscriptions', 'Male Protagonist', 'Martial Spirits', 'Playful Protagonist', 'Poor Protagonist', 'Priests', 'Religions', 'Romantic Subplot', 'Transformation Ability', 'Transmigration', 'Transported to Another World', 'Weak to Strong', 'Younger Brothers']",6,8,18,37,138,4.4
Love is too Frustrating,"['Drama', 'Mature', 'Psychological', 'Romance', 'Tragedy', 'Yaoi']","['Absent Parents', 'Betrayal', 'Bickering Couple', 'Business Management', 'Businessmen', 'Calm Protagonist', 'Caring Protagonist', 'Cautious Protagonist', 'Charming Protagonist', 'Clever Protagonist', 'Clingy Lover', 'Cold Love Interests', 'Confident Protagonist', 'Contracts', 'Depression', 'Family Business', 'Handsome Male Lead', 'Manipulative Characters', 'Manly Gay Couple', 'Marriage of Convenience', 'Mature Protagonist', 'Modern Day', 'Past Plays a Big Role', 'Past Trauma', 'Power Couple', 'Pragmatic Protagonist', 'Protagonist Falls in Love First', 'Ruthless Protagonist', 'Second Chance', 'S*x Friends', 'Underestimated Protagonist', 'Unrequited Love', 'Wealthy Characters']",6,3,6,10,34,4.1
I Am The Omnipotent Prince Charming,"['Slice of Life', 'Action', 'Fantasy', 'Romance']","['Cheats', 'Game Elements', 'Jack of All Trades', 'Male Protagonist', 'Modern Day']",1,2,3,2,9,3.9
Deviant Immortal of Uncanny Dao,"['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Xuanhuan']","['Bestiality', 'Dao Comprehension', 'Dark', 'Immortals', 'Male Protagonist', 'Mysterious Illness', 'Mythology', 'Psychopaths', 'Transmigration']",0,0,1,0,4,4.6
Campus Rebirth: The Strongest Female Agent,"['Drama', 'Supernatural', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy', 'Romance']","['Arrogant Characters', 'Beautiful Female Lead', 'Calm Protagonist', 'Cold Love Interests', 'Cultivation', 'Cunning Protagonist', 'Depictions of Cruelty', 'Familial Love', 'Female Protagonist', 'Genius Protagonist', 'Handsome Male Lead', 'Hiding True Identity', 'Love Interest Falls in Love First', 'Mercenaries', 'Military', 'Modern Day', 'Power Couple', 'R*pe', 'Ruthless Protagonist', 'Second Chance', 'Transmigration']",12,6,10,2,19,3.2
